Id,Label,type,difficulty,modularity_class,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,clustering,triangles,eigencentrality
Check If Two String Arrays are Equivalent,Check If Two String Arrays are Equivalent,Problem,Easy,73,0,2,2,6,0.414279,0.447732,1305.8745,0,0,0,0.022763
Consecutive Characters,Consecutive Characters,Problem,Easy,42,0,1,1,6,0.285529,0.312283,0,0,0,0,0.006146
Count Number of Distinct Integers After Reverse Operations,Count Number of Distinct Integers After Reverse Operations,Problem,Medium,76,0,4,4,6,0.411141,0.445739,1823.314355,0,0,0,0.029478
Rotate Array,Rotate Array,Problem,Medium,81,0,3,3,6,0.397521,0.435204,1404.932186,0,0,0,0.023348
Find K-Length Substrings With No Repeated Characters,Find K-Length Substrings With No Repeated Characters,Problem,Medium,73,0,3,3,6,0.315394,0.353741,352.723902,0,0,0,0.013893
Split the Array to Make Coprime Products,Split the Array to Make Coprime Products,Problem,Hard,76,0,4,4,6,0.410376,0.445172,1745.464103,0,0,0,0.028632
Find Triangular Sum of an Array,Find Triangular Sum of an Array,Problem,Medium,76,0,5,5,6,0.393311,0.431992,1441.427078,0,0,0,0.024488
Minimum Moves to Get a Peaceful Board,Minimum Moves to Get a Peaceful Board,Problem,Medium,81,0,4,4,6,0.375399,0.416601,594.861906,0,0,0,0.02467
Linked List Random Node,Linked List Random Node,Problem,Medium,76,0,4,4,6,0.279734,0.303647,1205.582405,0,0,0,0.005891
Longest ZigZag Path in a Binary Tree,Longest ZigZag Path in a Binary Tree,Problem,Medium,55,0,4,4,5,0.292053,0.321972,1147.267198,0,0,0,0.010551
Array Wrapper,Array Wrapper,Problem,Easy,20,0,0,0,0,0,0,0,22,0,0,0
Check if Strings Can be Made Equal With Operations II,Check if Strings Can be Made Equal With Operations II,Problem,Medium,42,0,3,3,6,0.331081,0.372487,601.260301,0,0,0,0.016719
Check if the Rectangle Corner Is Reachable,Check if the Rectangle Corner Is Reachable,Problem,Hard,55,0,6,6,4,0.414085,0.447728,5177.491489,0,0,0,0.027209
Longest Almost-Palindromic Substring,Longest Almost-Palindromic Substring,Problem,Medium,81,0,3,3,6,0.320029,0.359547,772.889889,0,0,0,0.013002
Jump Game VII,Jump Game VII,Problem,Medium,73,0,4,4,6,0.325281,0.365939,831.142408,0,0,0,0.014405
Find Top Scoring Students II,Find Top Scoring Students II,Problem,Hard,4,0,1,1,2,0.500808,0.501613,0,1,0,0,0.001788
Sellers With No Sales,Sellers With No Sales,Problem,Easy,4,0,1,1,2,0.500808,0.501613,0,1,0,0,0.001788
Unique Email Addresses,Unique Email Addresses,Problem,Easy,73,0,3,3,6,0.421354,0.452953,1843.749042,0,0,0,0.029132
Escape a Large Maze,Escape a Large Maze,Problem,Hard,55,0,4,4,5,0.40196,0.438218,2515.004242,0,0,0,0.027393
Check Array Formation Through Concatenation,Check Array Formation Through Concatenation,Problem,Easy,73,0,2,2,6,0.381901,0.422033,292.457314,0,0,0,0.022986
Design Front Middle Back Queue,Design Front Middle Back Queue,Problem,Medium,34,0,6,6,6,0.371642,0.413483,2610.731295,0,0,0,0.019526
Minimum Operations to Make Character Frequencies Equal,Minimum Operations to Make Character Frequencies Equal,Problem,Hard,73,0,5,5,6,0.345747,0.388771,1450.779289,0,0,0,0.020317
Smallest String With A Given Numeric Value,Smallest String With A Given Numeric Value,Problem,Medium,81,0,2,2,6,0.302625,0.337032,229.629089,0,0,0,0.009749
Reshape Data: Melt,Reshape Data: Melt,Problem,Easy,21,0,0,0,0,0,0,0,23,0,0,0
Maximize Grid Happiness,Maximize Grid Happiness,Problem,Hard,43,0,4,4,6,0.284379,0.311031,147.259442,0,0,0,0.0082
People Whose List of Favorite Companies Is Not a Subset of Another List,People Whose List of Favorite Companies Is Not a Subset of Another List,Problem,Medium,42,0,3,3,6,0.421354,0.452953,1843.749042,0,0,0,0.029132
Count Special Quadruplets,Count Special Quadruplets,Problem,Easy,73,0,3,3,6,0.3857,0.425387,543.944017,0,0,0,0.024171
Number of Unique XOR Triplets II,Number of Unique XOR Triplets II,Problem,Medium,73,0,4,4,6,0.397297,0.43511,1599.047466,0,0,0,0.024792
K Items With the Maximum Sum,K Items With the Maximum Sum,Problem,Easy,76,0,2,2,6,0.294147,0.325161,211.150742,0,0,0,0.008388
Lowest Common Ancestor of a Binary Tree IV,Lowest Common Ancestor of a Binary Tree IV,Problem,Medium,55,0,4,4,5,0.29944,0.332398,1041.983927,0,0,0,0.012011
Second Minimum Time to Reach Destination,Second Minimum Time to Reach Destination,Problem,Hard,55,0,3,3,5,0.263835,0.276573,51.190811,0,0,0,0.003756
Permutations II,Permutations II,Problem,Medium,43,0,3,3,6,0.37051,0.412042,413.731501,0,0,0,0.021789
Split Array Largest Sum,Split Array Largest Sum,Problem,Hard,81,0,5,5,6,0.393487,0.432568,1015.584031,0,0.1,1,0.030031
Cherry Pickup,Cherry Pickup,Problem,Hard,86,0,3,3,6,0.38009,0.420569,451.998999,0,0,0,0.023782
Number of Divisible Substrings,Number of Divisible Substrings,Problem,Medium,73,0,4,4,6,0.320902,0.360695,547.458686,0,0,0,0.016196
Hash Table,Hash Table,Tag,,73,803,0,803,5,0.39397,0.486966,644134.4366,0,0,0,0.375746
The Score of Students Solving Math Expression,The Score of Students Solving Math Expression,Problem,Hard,43,0,7,7,6,0.458897,0.47791,6663.009104,0,0,0,0.040711
Get Maximum in Generated Array,Get Maximum in Generated Array,Problem,Easy,86,0,2,2,6,0.366622,0.40831,190.424025,0,0,0,0.01824
Maximize the Confusion of an Exam,Maximize the Confusion of an Exam,Problem,Medium,73,0,4,4,6,0.3577,0.384099,573.182047,0,0,0,0.012426
Map Sum Pairs,Map Sum Pairs,Problem,Medium,42,0,4,4,6,0.314719,0.353009,626.722918,0,0,0,0.01425
Design HashSet,Design HashSet,Problem,Easy,42,0,5,5,6,0.390352,0.429592,2997.772828,0,0,0,0.025198
Projection Area of 3D Shapes,Projection Area of 3D Shapes,Problem,Easy,76,0,4,4,6,0.390007,0.429181,1098.430658,0,0,0,0.024169
Queens That Can Attack the King,Queens That Can Attack the King,Problem,Medium,86,0,3,3,6,0.366698,0.408499,223.933085,0,0,0,0.020497
Taking Maximum Energy From the Mystic Dungeon,Taking Maximum Energy From the Mystic Dungeon,Problem,Medium,73,0,3,3,6,0.382025,0.422269,512.018193,0,0,0,0.023498
Count Binary Palindromic Numbers,Count Binary Palindromic Numbers,Problem,Hard,43,0,2,2,6,0.286271,0.313568,191.649804,0,0,0,0.006991
Design Movie Rental System,Design Movie Rental System,Problem,Hard,34,0,5,5,6,0.387054,0.426781,982.099473,0,0,0,0.026583
Number of Beautiful Partitions,Number of Beautiful Partitions,Problem,Hard,73,0,3,3,6,0.320844,0.360506,675.591183,0,0,0,0.013028
Strongly Connected Component,Strongly Connected Component,Tag,,55,2,0,2,6,0.280825,0.295994,4.95316,0,0,0,0.000728
Bank Account Summary II,Bank Account Summary II,Problem,Easy,4,0,1,1,2,0.500808,0.501613,0,1,0,0,0.001788
Maximum Frequency of an Element After Performing Operations I,Maximum Frequency of an Element After Performing Operations I,Problem,Medium,73,0,5,5,6,0.374443,0.416412,315.820929,0,0.1,1,0.027099
Find Kth Largest XOR Coordinate Value,Find Kth Largest XOR Coordinate Value,Problem,Medium,81,0,8,8,6,0.379722,0.420923,1544.171605,0,0,0,0.029906
Find the Difference,Find the Difference,Problem,Easy,43,0,4,4,6,0.343458,0.38621,1178.08225,0,0,0,0.018924
Maximum Number of Coins You Can Get,Maximum Number of Coins You Can Get,Problem,Medium,76,0,5,5,6,0.401868,0.438818,1768.032627,0,0,0,0.029598
Replace All Digits with Characters,Replace All Digits with Characters,Problem,Easy,42,0,1,1,6,0.285529,0.312283,0,0,0,0,0.006146
Maximum Alternating Subsequence Sum,Maximum Alternating Subsequence Sum,Problem,Medium,43,0,2,2,6,0.380009,0.42038,390.906154,0,0,0,0.021525
Article Views I,Article Views I,Problem,Easy,4,0,1,1,2,0.500808,0.501613,0,1,0,0,0.001788
Partition Array Into Two Arrays to Minimize Sum Difference,Partition Array Into Two Arrays to Minimize Sum Difference,Problem,Hard,34,0,8,8,6,0.400727,0.438662,2317.718784,0,0.035714,1,0.034137
Add Two Integers,Add Two Integers,Problem,Easy,76,0,1,1,6,0.276229,0.297723,0,0,0,0,0.004786
Longest Path With Different Adjacent Characters,Longest Path With Different Adjacent Characters,Problem,Hard,55,0,6,6,5,0.444388,0.468311,6756.395025,0,0,0,0.028965
House Robber IV,House Robber IV,Problem,Medium,81,0,4,4,6,0.391565,0.430891,845.393411,0,0.166667,1,0.028059
Check if Array is Good,Check if Array is Good,Problem,Easy,81,0,3,3,6,0.384901,0.424726,434.689838,0,0,0,0.027188
Least Operators to Express Number,Least Operators to Express Number,Problem,Hard,43,0,3,3,6,0.30087,0.33484,372.115788,0,0,0,0.010178
Best Team With No Conflicts,Best Team With No Conflicts,Problem,Medium,81,0,3,3,6,0.385111,0.424891,591.524751,0,0,0,0.025728
Count All Valid Pickup and Delivery Options,Count All Valid Pickup and Delivery Options,Problem,Hard,76,0,3,3,6,0.30087,0.33484,349.021672,0,0,0,0.010297
Design,Design,Tag,,34,133,0,133,5,0.341695,0.35933,44620.541436,0,0,0,0.050602
Maximum Coins From K Consecutive Bags,Maximum Coins From K Consecutive Bags,Problem,Medium,73,0,6,6,6,0.383312,0.424254,639.408977,0,0.066667,1,0.030702
Partition Array Into Three Parts With Equal Sum,Partition Array Into Three Parts With Equal Sum,Problem,Easy,81,0,2,2,6,0.371721,0.413034,181.852162,0,0,0,0.020219
Missing Number,Missing Number,Problem,Easy,43,0,6,6,6,0.418605,0.451715,2978.040899,0,0.066667,1,0.03711
Largest Color Value in a Directed Graph,Largest Color Value in a Directed Graph,Problem,Hard,55,0,7,7,6,0.349376,0.392663,2882.543976,0,0,0,0.021464
Delete Duplicate Emails,Delete Duplicate Emails,Problem,Easy,4,0,1,1,2,0.500808,0.501613,0,1,0,0,0.001788
Array of Doubled Pairs,Array of Doubled Pairs,Problem,Medium,73,0,4,4,6,0.393574,0.432048,759.160174,0,0,0,0.030791
Decoded String at Index,Decoded String at Index,Problem,Medium,42,0,2,2,6,0.290897,0.320446,149.090007,0,0,0,0.007547
Shift Distance Between Two Strings,Shift Distance Between Two Strings,Problem,Medium,73,0,3,3,6,0.415205,0.448536,1529.993078,0,0,0,0.024735
Count Connected Components in LCM Graph,Count Connected Components in LCM Graph,Problem,Hard,76,0,5,5,6,0.412921,0.447203,2167.468086,0,0,0,0.029522
Erect the Fence II,Erect the Fence II,Problem,Hard,76,0,3,3,6,0.38992,0.428992,943.934815,0,0,0,0.021912
Managers with at Least 5 Direct Reports,Managers with at Least 5 Direct Reports,Problem,Medium,4,0,1,1,2,0.500808,0.501613,0,1,0,0,0.001788
Active Users,Active Users,Problem,Medium,4,0,1,1,2,0.500808,0.501613,0,1,0,0,0.001788
Next Greater Element IV,Next Greater Element IV,Problem,Hard,42,0,6,6,6,0.37846,0.420073,853.702583,0,0.066667,1,0.027639
Find Valid Emails,Find Valid Emails,Problem,Easy,4,0,1,1,2,0.500808,0.501613,0,1,0,0,0.001788
Equal Score Substrings,Equal Score Substrings,Problem,Easy,73,0,2,2,6,0.295329,0.326795,163.769081,0,0,0,0.008119
Design Order Management System,Design Order Management System,Problem,Medium,34,0,2,2,6,0.285714,0.312684,69.874187,0,0,0,0.007463
XOR Operation in an Array,XOR Operation in an Array,Problem,Easy,43,0,2,2,6,0.286271,0.313568,191.649804,0,0,0,0.006991
Divide Two Integers,Divide Two Integers,Problem,Medium,43,0,2,2,6,0.286271,0.313568,191.649804,0,0,0,0.006991
Perfect Squares,Perfect Squares,Problem,Medium,43,0,3,3,5,0.3136,0.351261,1449.98153,0,0,0,0.011627
Check Digitorial Permutation,Check Digitorial Permutation,Problem,Medium,73,0,2,2,6,0.284012,0.309996,115.72205,0,0,0,0.006492
Maximum Transaction Each Day,Maximum Transaction Each Day,Problem,Medium,4,0,1,1,2,0.500808,0.501613,0,1,0,0,0.001788
Kth Smallest Product of Two Sorted Arrays,Kth Smallest Product of Two Sorted Arrays,Problem,Hard,81,0,2,2,6,0.363636,0.406137,0,0,1,1,0.019547
Count Pairs Of Nodes,Count Pairs Of Nodes,Problem,Hard,73,0,7,7,6,0.402005,0.439503,2478.375738,0,0.047619,1,0.035167
Available Captures for Rook,Available Captures for Rook,Problem,Easy,86,0,3,3,6,0.366698,0.408499,223.933085,0,0,0,0.020497
Merge Adjacent Equal Elements,Merge Adjacent Equal Elements,Problem,Medium,42,0,3,3,6,0.373018,0.414286,534.19429,0,0,0,0.019641
All the Matches of the League,All the Matches of the League,Problem,Easy,4,0,1,1,2,0.500808,0.501613,0,1,0,0,0.001788
First Bad Version,First Bad Version,Problem,Easy,81,0,2,2,6,0.305296,0.319222,25.044247,0,0,0,0.003265
Find the K-or of an Array,Find the K-or of an Array,Problem,Easy,43,0,2,2,6,0.368075,0.409703,252.533543,0,0,0,0.018822
Insert Greatest Common Divisors in Linked List,Insert Greatest Common Divisors in Linked List,Problem,Medium,34,0,3,3,6,0.279689,0.303458,952.783423,0,0,0,0.006305
Minimum Operations to Make the Array K-Increasing,Minimum Operations to Make the Array K-Increasing,Problem,Hard,81,0,2,2,6,0.363636,0.406137,0,0,1,1,0.019547
Smallest Number With Given Digit Product,Smallest Number With Given Digit Product,Problem,Medium,76,0,2,2,6,0.294147,0.325161,211.150742,0,0,0,0.008388
Most Frequent Prime,Most Frequent Prime,Problem,Medium,76,0,7,7,6,0.413502,0.447841,2621.564999,0,0,0,0.03378
The Latest Login in 2020,The Latest Login in 2020,Problem,Easy,4,0,1,1,2,0.500808,0.501613,0,1,0,0,0.001788
Find Invalid IP Addresses,Find Invalid IP Addresses,Problem,Hard,4,0,1,1,2,0.500808,0.501613,0,1,0,0,0.001788
Cyclically Rotating a Grid,Cyclically Rotating a Grid,Problem,Medium,86,0,3,3,6,0.366698,0.408499,223.933085,0,0,0,0.020497
Path In Zigzag Labelled Binary Tree,Path In Zigzag Labelled Binary Tree,Problem,Medium,55,0,3,3,6,0.287718,0.315849,1917.945374,0,0,0,0.007953
Minimum Depth of Binary Tree,Minimum Depth of Binary Tree,Problem,Easy,55,0,4,4,5,0.268248,0.284188,63.48951,0,0,0,0.007574
Count Student Number in Departments,Count Student Number in Departments,Problem,Medium,4,0,1,1,2,0.500808,0.501613,0,1,0,0,0.001788
Minimum Stability Factor of Array,Minimum Stability Factor of Array,Problem,Hard,34,0,6,6,6,0.400091,0.437897,1830.147167,0,0.066667,1,0.029525
Take K of Each Character From Left and Right,Take K of Each Character From Left and Right,Problem,Medium,73,0,3,3,6,0.315394,0.353741,352.723902,0,0,0,0.013893
Put Boxes Into the Warehouse II,Put Boxes Into the Warehouse II,Problem,Medium,81,0,3,3,6,0.375319,0.416412,283.91982,0,0,0,0.024421
Make a Square with the Same Color,Make a Square with the Same Color,Problem,Easy,73,0,3,3,6,0.366051,0.407908,209.294303,0,0,0,0.020058
Longest Continuous Increasing Subsequence,Longest Continuous Increasing Subsequence,Problem,Easy,73,0,1,1,6,0.361587,0.403444,0,0,0,0,0.016616
Ad-Free Sessions,Ad-Free Sessions,Problem,Easy,4,0,1,1,2,0.500808,0.501613,0,1,0,0,0.001788
Last Person to Fit in the Bus,Last Person to Fit in the Bus,Problem,Medium,4,0,1,1,2,0.500808,0.501613,0,1,0,0,0.001788
Minimum Cost to Make Array Equal,Minimum Cost to Make Array Equal,Problem,Hard,73,0,5,5,6,0.379927,0.42123,472.183172,0,0.1,1,0.029325
Toeplitz Matrix,Toeplitz Matrix,Problem,Easy,86,0,2,2,6,0.361661,0.403633,5.907785,0,0,0,0.018873
Find Number of Ways to Reach the K-th Stair,Find Number of Ways to Reach the K-th Stair,Problem,Hard,43,0,5,5,6,0.30904,0.34606,746.097115,0,0,0,0.012985
Super Ugly Number,Super Ugly Number,Problem,Medium,43,0,3,3,6,0.404448,0.440542,1562.465778,0,0,0,0.026311
Intersection of Two Linked Lists,Intersection of Two Linked Lists,Problem,Easy,34,0,3,3,6,0.295329,0.326979,698.798894,0,0,0,0.008975
Maximum Frequency Score of a Subarray,Maximum Frequency Score of a Subarray,Problem,Hard,42,0,5,5,6,0.419102,0.451691,2523.121331,0,0,0,0.030549
Find Words Containing Character,Find Words Containing Character,Problem,Easy,73,0,2,2,6,0.414279,0.447732,1305.8745,0,0,0,0.022763
Find the Maximum Length of a Good Subsequence I,Find the Maximum Length of a Good Subsequence I,Problem,Medium,73,0,3,3,6,0.400864,0.437694,944.864079,0,0,0,0.027895
Battleships in a Board,Battleships in a Board,Problem,Medium,86,0,3,3,5,0.379396,0.419511,1090.131185,0,0,0,0.021347
Describe the Painting,Describe the Painting,Problem,Medium,81,0,4,4,6,0.386969,0.426616,568.982594,0,0,0,0.029161
Longest Unequal Adjacent Groups Subsequence I,Longest Unequal Adjacent Groups Subsequence I,Problem,Easy,73,0,4,4,6,0.430244,0.459236,2695.846116,0,0,0,0.031275
Delete N Nodes After M Nodes of a Linked List,Delete N Nodes After M Nodes of a Linked List,Problem,Easy,34,0,1,1,6,0.251157,0.255026,0,0,0,0,0.000659
Word Search II,Word Search II,Problem,Hard,42,0,5,5,6,0.417021,0.450071,2170.045615,0,0,0,0.026631
Construct String With Repeat Limit,Construct String With Repeat Limit,Problem,Medium,81,0,5,5,6,0.336577,0.378921,1113.927305,0,0,0,0.019605
Sort Characters By Frequency,Sort Characters By Frequency,Problem,Medium,81,0,6,6,6,0.338125,0.380707,1632.559249,0,0,0,0.02042
Cousins in Binary Tree,Cousins in Binary Tree,Problem,Easy,55,0,4,4,5,0.268248,0.284188,63.48951,0,0,0,0.007574
Maximize Spanning Tree Stability with Upgrades,Maximize Spanning Tree Stability with Upgrades,Problem,Hard,55,0,5,5,6,0.32932,0.35377,1004.889304,0,0,0,0.009021
Check if The Number is Fascinating,Check if The Number is Fascinating,Problem,Easy,76,0,2,2,6,0.311221,0.348408,438.809839,0,0,0,0.011155
Count Triplets That Can Form Two Arrays of Equal XOR,Count Triplets That Can Form Two Arrays of Equal XOR,Problem,Medium,43,0,5,5,6,0.416578,0.449896,2465.257516,0,0,0,0.03195
Change the Root of a Binary Tree,Change the Root of a Binary Tree,Problem,Medium,55,0,3,3,5,0.265543,0.279323,13.625103,0,0,0,0.005642
Subdomain Visit Count,Subdomain Visit Count,Problem,Medium,73,0,4,4,6,0.421757,0.453354,2026.239058,0,0,0,0.030839
Map of Highest Peak,Map of Highest Peak,Problem,Medium,73,0,3,3,5,0.372939,0.413827,653.132016,0,0,0,0.020805
Count Number of Trapezoids I,Count Number of Trapezoids I,Problem,Medium,76,0,4,4,6,0.410376,0.445172,1727.598602,0,0,0,0.028282
Minimum Operations to Equalize Binary String,Minimum Operations to Equalize Binary String,Problem,Hard,55,0,5,5,5,0.333838,0.375364,3110.564203,0,0,0,0.014478
Mini Parser,Mini Parser,Problem,Medium,42,0,3,3,5,0.306197,0.341492,1271.47729,0,0,0,0.010021
Product's Price for Each Store,Product's Price for Each Store,Problem,Easy,4,0,1,1,2,0.500808,0.501613,0,1,0,0,0.001788
Sum of Beautiful Subsequences,Sum of Beautiful Subsequences,Problem,Hard,34,0,4,4,6,0.390265,0.429417,1102.449384,0,0,0,0.022761
Maximal Square,Maximal Square,Problem,Medium,86,0,3,3,6,0.38009,0.420569,451.998999,0,0,0,0.023782
Minimum Costs Using the Train Line,Minimum Costs Using the Train Line,Problem,Hard,43,0,2,2,6,0.380009,0.42038,390.906154,0,0,0,0.021525
Longest Subsequence With Non-Zero Bitwise XOR,Longest Subsequence With Non-Zero Bitwise XOR,Problem,Medium,43,0,2,2,6,0.368075,0.409703,252.533543,0,0,0,0.018822
All O`one Data Structure,All O`one Data Structure,Problem,Hard,34,0,4,4,6,0.28833,0.316889,696.748958,0,0,0,0.008389
Find Closest Number to Zero,Find Closest Number to Zero,Problem,Easy,73,0,1,1,6,0.361587,0.403444,0,0,0,0,0.016616
Make Array Non-decreasing or Non-increasing,Make Array Non-decreasing or Non-increasing,Problem,Hard,81,0,4,4,6,0.392786,0.431387,1023.948017,0,0,0,0.026908
Snail Traversal,Snail Traversal,Problem,Medium,22,0,0,0,0,0,0,0,24,0,0,0
Reorganize String,Reorganize String,Problem,Medium,81,0,6,6,6,0.347518,0.390698,1556.512584,0,0,0,0.023808
Minimum Length of Anagram Concatenation,Minimum Length of Anagram Concatenation,Problem,Medium,73,0,3,3,6,0.312102,0.349627,316.306292,0,0,0,0.014223
Clumsy Factorial,Clumsy Factorial,Problem,Medium,42,0,3,3,6,0.290562,0.320134,441.116919,0,0,0,0.00781
Find the Key of the Numbers,Find the Key of the Numbers,Problem,Easy,76,0,1,1,6,0.276229,0.297723,0,0,0,0,0.004786
Wildcard Matching,Wildcard Matching,Problem,Hard,76,0,4,4,6,0.330895,0.372525,1352.022321,0,0,0,0.015145
Find Emotionally Consistent Users,Find Emotionally Consistent Users,Problem,Medium,23,0,0,0,0,0,0,0,25,0,0,0
Minimum Array End,Minimum Array End,Problem,Medium,43,0,1,1,6,0.259909,0.270077,0,0,0,0,0.002206
Query Batching,Query Batching,Problem,Hard,24,0,0,0,0,0,0,0,26,0,0,0
Maximum Score of Non-overlapping Intervals,Maximum Score of Non-overlapping Intervals,Problem,Hard,81,0,4,4,6,0.387097,0.427206,701.362797,0,0.166667,1,0.028658
Flip Game,Flip Game,Problem,Easy,42,0,1,1,6,0.285529,0.312283,0,0,0,0,0.006146
Design File System,Design File System,Problem,Medium,34,0,4,4,6,0.314719,0.353009,626.722918,0,0,0,0.01425
Count the Number of Computer Unlocking Permutations,Count the Number of Computer Unlocking Permutations,Problem,Medium,76,0,4,4,6,0.390093,0.429252,1226.02,0,0,0,0.022312
Minimum Health to Beat Game,Minimum Health to Beat Game,Problem,Medium,81,0,2,2,6,0.371721,0.413034,181.852162,0,0,0,0.020219
Palindrome Linked List,Palindrome Linked List,Problem,Easy,34,0,4,4,6,0.269478,0.286692,439.485122,0,0,0,0.004492
Minimum Cost to Reach Destination in Time,Minimum Cost to Reach Destination in Time,Problem,Hard,43,0,3,3,6,0.387054,0.426512,1128.180556,0,0,0,0.02292
Continuous Subarray Sum,Continuous Subarray Sum,Problem,Medium,76,0,4,4,6,0.412342,0.44666,1833.21348,0,0,0,0.029744
Convert Integer to the Sum of Two No-Zero Integers,Convert Integer to the Sum of Two No-Zero Integers,Problem,Easy,76,0,1,1,6,0.276229,0.297723,0,0,0,0,0.004786
Substring Matching Pattern,Substring Matching Pattern,Problem,Easy,42,0,2,2,6,0.285853,0.312897,30.40437,0,0,0,0.006569
Minimum Weighted Subgraph With the Required Paths II,Minimum Weighted Subgraph With the Required Paths II,Problem,Hard,55,0,5,5,5,0.406498,0.441785,4072.410453,0,0,0,0.028084
Minimize Malware Spread II,Minimize Malware Spread II,Problem,Hard,55,0,6,6,5,0.405704,0.44136,3577.457037,0,0,0,0.029677
Product of Two Run-Length Encoded Arrays,Product of Two Run-Length Encoded Arrays,Problem,Medium,81,0,2,2,6,0.368652,0.410294,265.65708,0,0,0,0.018562
Count the Number of Incremovable Subarrays II,Count the Number of Incremovable Subarrays II,Problem,Hard,81,0,3,3,6,0.370433,0.412561,311.95771,0,0.333333,1,0.021493
Subtree of Another Tree,Subtree of Another Tree,Problem,Easy,55,0,5,5,5,0.268004,0.283782,546.416373,0,0,0,0.006524
Subarray Sums Divisible by K,Subarray Sums Divisible by K,Problem,Medium,73,0,3,3,6,0.383937,0.423923,402.453258,0,0,0,0.024959
Slowest Key,Slowest Key,Problem,Easy,42,0,2,2,6,0.414279,0.447732,1305.8745,0,0,0,0.022763
Apply Operations to Maximize Score,Apply Operations to Maximize Score,Problem,Hard,42,0,7,7,6,0.40805,0.443778,2694.282987,0,0,0,0.032179
Next Day,Next Day,Problem,Easy,25,0,0,0,0,0,0,0,27,0,0,0
Three Divisors,Three Divisors,Problem,Easy,76,0,3,3,6,0.280758,0.305111,98.387104,0,0,0,0.006831
Sum of Distances,Sum of Distances,Problem,Medium,73,0,3,3,6,0.383937,0.423923,402.453258,0,0,0,0.024959
Length of Longest Subarray With at Most K Frequency,Length of Longest Subarray With at Most K Frequency,Problem,Medium,73,0,3,3,6,0.383312,0.423403,400.660238,0,0,0,0.024363
Process String with Special Operations I,Process String with Special Operations I,Problem,Medium,86,0,2,2,6,0.292926,0.323455,170.077841,0,0,0,0.00777
Maximum Value Sum by Placing Three Rooks II,Maximum Value Sum by Placing Three Rooks II,Problem,Hard,73,0,4,4,6,0.384356,0.424348,743.967115,0,0,0,0.024967
Maximum K to Sort a Permutation,Maximum K to Sort a Permutation,Problem,Medium,43,0,2,2,6,0.368075,0.409703,252.533543,0,0,0,0.018822
Additive Number,Additive Number,Problem,Medium,43,0,2,2,6,0.288849,0.317366,143.057757,0,0,0,0.007117
Maximum Width Ramp,Maximum Width Ramp,Problem,Medium,42,0,4,4,6,0.375399,0.416624,680.600245,0,0,0,0.020673
Immediate Food Delivery III,Immediate Food Delivery III,Problem,Medium,4,0,1,1,2,0.500808,0.501613,0,1,0,0,0.001788
Maximum Number of Accepted Invitations,Maximum Number of Accepted Invitations,Problem,Medium,55,0,4,4,5,0.383437,0.423148,1687.905391,0,0,0,0.022742
Univalued Binary Tree,Univalued Binary Tree,Problem,Easy,55,0,4,4,5,0.268248,0.284188,63.48951,0,0,0,0.007574
Missing Element in Sorted Array,Missing Element in Sorted Array,Problem,Medium,81,0,2,2,6,0.363636,0.406137,0,0,1,1,0.019547
Sort Colors,Sort Colors,Problem,Medium,81,0,3,3,6,0.373531,0.414876,385.848404,0,0,0,0.022765
Drop Type 1 Orders for Customers With Type 0 Orders,Drop Type 1 Orders for Customers With Type 0 Orders,Problem,Medium,4,0,1,1,2,0.500808,0.501613,0,1,0,0,0.001788
Minimum Time to Visit a Cell In a Grid,Minimum Time to Visit a Cell In a Grid,Problem,Hard,55,0,6,6,5,0.379968,0.420408,1688.261561,0,0,0,0.024409
Least Number of Unique Integers after K Removals,Least Number of Unique Integers after K Removals,Problem,Medium,73,0,5,5,6,0.394366,0.432804,938.494495,0,0,0,0.032498
The Knight’s Tour,The Knight’s Tour,Problem,Medium,43,0,3,3,6,0.36571,0.407577,306.099484,0,0,0,0.019843
Integer Break,Integer Break,Problem,Medium,76,0,2,2,6,0.300819,0.334651,317.049557,0,0,0,0.009695
The Number of Ways to Make the Sum,The Number of Ways to Make the Sum,Problem,Medium,43,0,2,2,6,0.380009,0.42038,390.906154,0,0,0,0.021525
Shortest Subarray With OR at Least K I,Shortest Subarray With OR at Least K I,Problem,Easy,43,0,3,3,6,0.371486,0.41301,372.944728,0,0,0,0.020199
Find the Largest Area of Square Inside Two Rectangles,Find the Largest Area of Square Inside Two Rectangles,Problem,Medium,76,0,3,3,6,0.38992,0.428992,943.934815,0,0,0,0.021912
N-Repeated Element in Size 2N Array,N-Repeated Element in Size 2N Array,Problem,Easy,73,0,2,2,6,0.381901,0.422033,292.457314,0,0,0,0.022986
Adding Two Negabinary Numbers,Adding Two Negabinary Numbers,Problem,Medium,73,0,2,2,6,0.389834,0.428803,854.510067,0,0,0,0.021402
Minimum Processing Time,Minimum Processing Time,Problem,Medium,81,0,3,3,6,0.375319,0.416412,283.91982,0,0,0,0.024421
Find the Smallest Balanced Index,Find the Smallest Balanced Index,Problem,Medium,73,0,2,2,6,0.364312,0.406184,60.349498,0,0,0,0.018589
Smallest Subarray to Sort in Every Sliding Window,Smallest Subarray to Sort in Every Sliding Window,Problem,Medium,42,0,6,6,6,0.387352,0.427206,1251.287876,0,0,0,0.028478
