Id,Label,type,difficulty,modularity_class,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,clustering,triangles,eigencentrality
Minimum Moves to Equal Array Elements III,Minimum Moves to Equal Array Elements III,Problem,Easy,76,0,2,2,6,0.389834,0.428803,854.510067,0,0,0,0.021402
Design Search Autocomplete System,Design Search Autocomplete System,Problem,Hard,34,0,7,7,5,0.336705,0.378855,3009.35445,0,0,0,0.016666
Reverse Linked List,Reverse Linked List,Problem,Easy,34,0,2,2,6,0.253612,0.25881,41.907495,0,0,0,0.001145
Memoize,Memoize,Problem,Medium,0,0,0,0,0,0,0,0,2,0,0,0
Couples Holding Hands,Couples Holding Hands,Problem,Hard,55,0,5,5,5,0.291281,0.320923,1135.580176,0,0,0,0.010294
Partition Array to Minimize XOR,Partition Array to Minimize XOR,Problem,Medium,73,0,4,4,6,0.387479,0.427017,917.007695,0,0,0,0.025704
Grid Game,Grid Game,Problem,Medium,86,0,3,3,6,0.364388,0.406373,76.021722,0,0,0,0.020846
Find Target Indices After Sorting Array,Find Target Indices After Sorting Array,Problem,Easy,81,0,3,3,6,0.368498,0.41079,83.034888,0,0.333333,1,0.023749
Number of Ways to Split Array,Number of Ways to Split Array,Problem,Medium,73,0,2,2,6,0.364312,0.406184,60.349498,0,0,0,0.018589
Minimum Operations to Transform String,Minimum Operations to Transform String,Problem,Medium,81,0,2,2,6,0.302625,0.337032,229.629089,0,0,0,0.009749
Find the Count of Good Integers,Find the Count of Good Integers,Problem,Hard,76,0,4,4,6,0.315113,0.353604,668.696267,0,0,0,0.012942
Largest Local Values in a Matrix,Largest Local Values in a Matrix,Problem,Easy,86,0,2,2,6,0.361661,0.403633,5.907785,0,0,0,0.018873
Count Beautiful Substrings I,Count Beautiful Substrings I,Problem,Medium,76,0,6,6,6,0.353224,0.396509,2408.34868,0,0,0,0.02132
